,Symbol,FullName,source,bill_code,customer_code,fullname
45,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkwMzM1NA==',中信银行股份有限公司北京分行
46,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkwMzM3Nw==',中信银行股份有限公司北京分行
47,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkwMzQ0NA==',中信银行股份有限公司北京分行
48,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkwMzQ3Mw==',中信银行股份有限公司北京分行
49,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkwMzQ4MQ==',中信银行股份有限公司北京分行
50,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkwMzUwNA==',中信银行股份有限公司北京分行
51,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkwMzUzNw==',中信银行股份有限公司北京分行
52,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkyNDQ5Nw==',中信银行股份有限公司北京分行
53,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkyNDY3Nw==',中信银行股份有限公司北京分行
54,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkyNDc1Ng==',中信银行股份有限公司北京分行
55,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkyNTAzMw==',中信银行股份有限公司北京分行
56,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkyNTE0MQ==',中信银行股份有限公司北京分行
57,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkyNTIzNw==',中信银行股份有限公司北京分行
58,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkyNTQwNA==',中信银行股份有限公司北京分行
59,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkyNTUzNw==',中信银行股份有限公司北京分行
60,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkyNTU3MQ==',中信银行股份有限公司北京分行
61,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNjA0NzU2NQ==',中信银行股份有限公司北京分行
62,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNjA0NzU3NQ==',中信银行股份有限公司北京分行
63,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNjA0NzU4OQ==',中信银行股份有限公司北京分行
64,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNjA0NzYwMg==',中信银行股份有限公司北京分行
65,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNjA0NzYwOA==',中信银行股份有限公司北京分行
66,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNzkxMTc4OQ==',中信银行股份有限公司北京分行
67,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwODA4OTAxNQ==',中信银行股份有限公司北京分行
