,Symbol,FullName,source,bill_code,customer_code.y,b.fullname
51,000039,中集集团,1,b'NzU1MDAxMzk0NQ==',b'NzU1MDAxNDk4OA==',深圳南方中集物流有限公司
52,000040,东旭蓝天,1,b'NzU1MDA1ODgyMg==',b'NzU1MDA1ODgyMg==',东旭蓝天新能源股份有限公司
53,000040,东旭蓝天,1,b'NzU1MDA1ODc5NA==',b'NzU1MDA1ODc5NA==',东旭蓝天新能源股份有限公司
54,000043,中航地产,1,b'NzU1MTUzNjU0Mw==',b'NzU1MTUzNjU0Mw==',中航善达股份有限公司
55,000043,中航地产,1,b'NzU1MDA3Njg4Nw==',b'NzU1MDA3Njg4Nw==',中航善达股份有限公司
56,000050,深天马A,1,b'NzU1NDI4Mjc3OQ==',b'NzU1MDA3MjkxMA==',天马微电子股份有限公司
57,000050,深天马A,1,b'NzU1NDI4Mjc3OQ==',b'NzU1NDI4Mjc3OQ==',天马微电子股份有限公司
58,000050,深天马A,1,b'NzU1NDI4Mjc3OQ==',b'MDI3NjY4ODAxOA==',天马微电子股份有限公司
59,000050,深天马A,1,b'NzU1NDI4Mjc3OQ==',b'MDIxNTExNzM1MA==',上海中航光电子有限公司
60,000059,华锦股份,1,b'NDI3MDM3ODY1Mg==',b'NDI3MDM3ODY1Mg==',北方华锦化学工业股份有限公司
61,000060,中金岭南,1,b'NzUxMDM4NjE2NA==',b'NzUxMDM4NjE2NA==',深圳市中金岭南有色金属股份有限公司
62,000061,农产品,1,b'NzU1NTA1NjMyMQ==',b'NzU1NTA1NjMyMQ==',深圳市农产品集团股份有限公司
63,000062,深圳华强,1,b'NzU1MDAxODU3Mg==',b'NzU1MDAxODU3Mg==',深圳华强实业股份有限公司
64,000063,中兴通讯,1,b'NzU1MTAzOTk4Ng==',b'MDIxMDM3MjUyNQ==',中兴通讯股份有限公司
65,000063,中兴通讯,1,b'MDI0MjE5ODQ2NQ==',b'MDI0MjE5ODQ2NQ==',中兴通讯股份有限公司
66,000063,中兴通讯,1,b'NzU1MTAzOTk4Ng==',b'MDI1MjA3MDU4OA==',中兴通讯股份有限公司
67,000063,中兴通讯,1,b'NzU1Mzc5NDczNA==',b'MDI1MzgwODk0Ng==',中兴通讯股份有限公司
68,000063,中兴通讯,1,b'MzExMzY4Mzc5NA==',b'MzExMzY4Mzc5NA==',中兴通讯股份有限公司
69,000063,中兴通讯,1,b'NDMxMjIzMjU3NQ==',b'NDMxMjY4OTg3Ng==',中兴通讯股份有限公司长春办事处
